Country,Year,Status,Life_Expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Australia,2000,Developed,79.5,78,1,10.17,347.18736,,108,58.2,2,9,8.8,9,0.1,2169.921,19153,0.7,0.7,0.897,20.4
Australia,2001,Developed,80,75,1,9.53,3064.301144,94,141,59,2,91,8.18,92,0.1,19517.84168,19413,0.7,0.7,0.899,20.5
Australia,2002,Developed,79.9,73,1,9.84,46.3871819,95,32,59.6,2,92,8.39,92,0.1,281.81763,196514,0.7,0.7,0.902,20.1
Australia,2003,Developed,80.3,71,1,9.97,3829.550928,95,91,6.3,1,92,8.32,93,0.1,23465.38559,198954,0.7,0.7,0.905,20.6
Australia,2004,Developed,80.6,69,1,9.84,588.568371,95,70,6.9,1,92,8.57,92,0.1,3472.37977,21274,0.7,0.6,0.908,20.7
Australia,2005,Developed,81,67,1,10.3,579.1331637,95,10,61.5,2,92,8.45,92,0.1,3416.71483,23948,0.7,0.6,0.91,20.3
Australia,2006,Developed,81.2,66,1,10.31,6187.062017,95,0,62,2,92,8.49,92,0.1,36118.28381,26979,0.7,0.6,0.915,20.3
Australia,2007,Developed,81.3,66,1,10.56,872.5986092,94,11,62.5,2,92,8.53,92,0.1,4991.98289,28276,0.7,0.6,0.918,19
Australia,2008,Developed,81.3,66,1,10.76,8547.292357,94,65,62.9,1,92,8.78,92,0.1,49664.6854,212492,0.7,0.6,0.921,19.1
Australia,2009,Developed,81.7,66,1,10.62,7172.275229,94,104,63.4,1,92,9.5,92,0.1,42742.99898,216917,0.7,0.6,0.925,19.1
Australia,2010,Developed,81.9,64,1,10.52,8875.786493,92,70,63.9,1,92,9.2,92,0.1,51874.848,223175,0.7,0.6,0.927,19.5
Australia,2011,Developed,82,63,1,10.3,10986.26527,92,190,64.4,1,92,9.2,92,0.1,62245.129,223424,0.6,0.6,0.927,19.8
Australia,2012,Developed,82.3,61,1,10.03,11714.99858,91,199,65,1,92,9.36,92,0.1,67677.63477,22728254,0.6,0.6,0.93,20.1
Australia,2013,Developed,82.5,61,1,9.87,11734.85381,91,158,65.5,1,91,9.36,91,0.1,67792.3386,23117353,0.6,0.6,0.933,20.3
Australia,2014,Developed,82.7,6,1,9.71,10769.36305,91,340,66.1,1,92,9.42,92,0.1,62214.6912,2346694,0.6,0.6,0.936,20.4
Australia,2015,Developed,82.8,59,1,,0,93,74,66.6,1,93,,93,0.1,56554.3876,23789338,0.6,0.6,0.937,20.4
United States of America,2015,Developed,79.3,13,23,,0,92,188,69.6,26,93,,95,0.1,,,0.8,0.6,,
United States of America,2014,Developed,79.1,14,23,8.82,0,92,667,69.1,27,93,17.14,95,0.1,,,0.8,0.6,,
United States of America,2013,Developed,78.9,16,23,8.82,0,91,187,68.6,27,93,16.9,94,0.1,,,0.7,0.6,,
United States of America,2012,Developed,78.8,16,24,8.82,0,9,55,68,28,93,17.2,94,0.1,,,0.7,0.6,,
United States of America,2011,Developed,78.7,16,25,8.67,0,91,220,67.5,29,94,17.6,96,0.1,,,0.7,0.6,,
United States of America,2010,Developed,78.7,15,25,8.55,0,92,63,66.9,30,93,17.2,95,0.1,,,0.7,0.6,,
United States of America,2009,Developed,78.5,18,26,8.71,0,92,71,66.3,31,93,17,95,0.1,,,0.7,0.6,,
United States of America,2008,Developed,78.2,18,27,8.74,0,94,140,65.7,31,94,16.2,96,0.1,,,0.7,0.6,,
United States of America,2007,Developed,78.1,11,27,8.74,0,93,43,65.1,32,93,15.57,96,0.1,,,0.7,0.6,,
United States of America,2006,Developed,77.8,113,28,8.63,0,93,55,64.4,33,93,15.27,96,0.1,,,0.7,0.6,,
United States of America,2005,Developed,77.5,112,28,8.52,0,93,66,63.8,33,92,15.15,96,0.1,,,0.7,0.6,,
United States of America,2004,Developed,77.5,111,28,8.48,0,92,37,63.1,33,92,15.14,96,0.1,,,0.7,0.6,,
United States of America,2003,Developed,77.2,114,28,8.4,0,92,56,62.4,33,91,15.6,96,0.1,,,0.7,0.6,,
United States of America,2002,Developed,77,115,28,8.33,0,88,41,61.7,33,9,14.55,94,0.1,,,0.8,0.6,,
United States of America,2001,Developed,76.9,115,28,8.25,0,89,116,6.9,33,89,13.73,94,0.1,,,0.8,0.6,,
United States of America,2000,Developed,76.8,114,28,8.21,0,9,85,6.1,33,9,13.7,94,0.1,,,0.8,0.7,,
Canada,2015,Developing,82.2,64,2,,0,55,195,67,2,91,,91,0.1,43315.744,3584861,0.6,0.5,0.919,16.3
Canada,2014,Developing,82,65,2,8.1,102.1902168,55,418,66.4,2,91,1.45,91,0.1,544.43376,35544564,0.5,0.5,0.912,15.9
Canada,2013,Developing,81.8,67,2,8.2,9733.228019,55,83,65.8,2,91,1.67,91,0.1,52413.72116,35155451,0.5,0.5,0.909,15.9
Canada,2012,Developing,81.6,68,2,8.3,9748.636237,7,10,65.3,2,99,1.78,95,0.1,52496.69487,3475545,0.5,0.5,0.907,15.9
Canada,2011,Developing,81.5,68,2,8.2,971.9280384,7,803,64.7,2,87,1.82,87,0.1,5282.2176,3434278,0.5,0.5,0.903,15.9
Canada,2010,Developing,81.2,7,2,8.4,8649.674911,56,99,64.1,2,88,11.2,89,0.1,47447.4762,345274,0.5,0.4,0.898,15.9
Canada,2009,Developing,81,72,2,8.4,864.94993,42,14,63.6,2,89,11.17,91,0.1,4773.45436,33628571,0.5,0.4,0.898,15.9
Canada,2008,Developing,87,74,2,8.3,8433.936814,28,62,63,2,89,1.3,92,0.1,46596.33599,33245773,0.5,0.4,0.897,15.8
Canada,2007,Developing,85,74,2,8.3,7946.743581,14,101,62.5,2,9,9.83,94,0.1,44544.5268,32887928,0.5,0.4,0.894,15.8
Canada,2006,Developing,85,75,2,8.2,771.1817686,14,13,61.9,2,95,9.75,95,0.1,4386.69948,325755,0.5,0.4,0.891,15.8
Canada,2005,Developing,81,76,2,8,6333.177967,14,6,61.3,2,93,9.57,93,0.1,36189.58838,32312,0.5,0.4,0.886,15.8
Canada,2004,Developing,80,77,2,7.8,5513.329924,14,7,6.6,2,91,9.56,91,0.1,31979.87195,31995,0.5,0.4,0.881,15.8
Canada,2003,Developing,79.7,78,2,7.7,4687.845565,14,15,6,2,88,9.54,91,0.1,28172.14883,31676,0.5,0.4,0.877,15.8
Canada,2002,Developing,79.5,79,2,7.7,3895.856308,,6,59.3,2,88,9.37,88,0.1,24167.8431,31362,0.5,0.4,0.872,15.8
Canada,2001,Developing,79.4,8,2,7.6,3665.089703,,34,58.5,2,88,9.1,89,0.1,23691.59472,31819,0.5,0.4,0.867,15.8
Canada,2000,Developing,79.1,82,2,7.6,3787.49456,,206,57.8,2,88,8.67,89,0.1,24124.16917,37697,0.5,0.5,0.864,15.9
United Kingdom of Great Britain and Northern Ireland,2015,Developed,81.2,69,3,10.66,0,,91,66.6,4,96,,96,0.1,,,0.8,0.6,,
United Kingdom of Great Britain and Northern Ireland,2014,Developed,81,71,3,10.37,0,,133,66,4,95,9.12,95,0.1,,,0.8,0.5,,
United Kingdom of Great Britain and Northern Ireland,2013,Developed,87,72,3,10.32,0,,1919,65.4,4,95,9.34,95,0.1,,,0.8,0.5,,
United Kingdom of Great Britain and Northern Ireland,2012,Developed,86,72,3,10.42,0,,2092,64.8,4,95,9.41,95,0.1,,,0.8,0.5,,
United Kingdom of Great Britain and Northern Ireland,2011,Developed,86,74,3,10.68,0,,1112,64.2,4,95,9.34,95,0.1,,,0.8,0.5,,
United Kingdom of Great Britain and Northern Ireland,2010,Developed,82,77,3,10.88,0,,443,63.6,4,94,9.51,94,0.1,,,0.8,0.5,,
United Kingdom of Great Britain and Northern Ireland,2009,Developed,81,78,4,10.79,0,,1212,63.1,4,93,9.81,93,0.1,,,0.8,0.5,,
United Kingdom of Great Britain and Northern Ireland,2008,Developed,79.6,8,4,11.47,0,,1445,62.5,4,92,8.85,92,0.1,,,0.8,0.5,,
United Kingdom of Great Britain and Northern Ireland,2007,Developed,79.5,8,4,11.84,0,,1022,61.9,4,92,8.42,92,0.1,,,0.7,0.5,,
United Kingdom of Great Britain and Northern Ireland,2006,Developed,79.3,82,4,11.61,0,,764,61.3,4,92,8.36,92,0.1,,,0.7,0.5,,
United Kingdom of Great Britain and Northern Ireland,2005,Developed,79,82,4,12.05,0,,79,6.7,4,91,8.24,91,0.1,,,0.7,0.5,,
United Kingdom of Great Britain and Northern Ireland,2004,Developed,78.8,83,4,12.22,0,,189,6.1,4,92,7.98,92,0.1,,,0.7,0.5,,
United Kingdom of Great Britain and Northern Ireland,2003,Developed,78.3,86,4,11.85,0,,460,59.5,4,91,7.81,91,0.1,,,0.7,0.5,,
United Kingdom of Great Britain and Northern Ireland,2002,Developed,78.2,87,4,11.44,0,,314,58.8,4,91,7.57,91,0.1,,,0.7,0.5,,
United Kingdom of Great Britain and Northern Ireland,2001,Developed,78,88,4,10.91,0,,73,58.2,4,91,7.31,91,0.1,,,0.7,0.5,,
United Kingdom of Great Britain and Northern Ireland,2000,Developed,77.8,89,4,10.59,0,,104,57.5,5,91,6.94,91,0.1,,,0.7,0.5,,
